epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,967.987,1.59105,2.20594,1.74671,0.41341,0.37903,0.36792,0.18545,1.70093,1.87105,1.66622,0.006733,0.006733,0.006733
101,977.717,1.59158,2.2047,1.76632,0.37796,0.45027,0.37961,0.18016,1.78633,1.87221,1.73572,0.0067,0.0067,0.0067
102,987.139,1.57146,2.17885,1.73777,0.43821,0.41556,0.39291,0.20046,1.71675,1.8473,1.671,0.006667,0.006667,0.006667
103,996.781,1.60219,2.21479,1.7672,0.38217,0.42852,0.37507,0.18414,1.70052,1.89417,1.68115,0.006634,0.006634,0.006634
104,1006.45,1.58131,2.19212,1.74465,0.40231,0.42481,0.40515,0.2099,1.70837,1.79201,1.6706,0.006601,0.006601,0.006601
105,1016.1,1.57359,2.16876,1.75067,0.40378,0.41767,0.36594,0.17515,1.807,1.93987,1.72179,0.006568,0.006568,0.006568
106,1025.8,1.59261,2.19595,1.75139,0.41484,0.48356,0.42883,0.21392,1.70289,1.78303,1.66426,0.006535,0.006535,0.006535
107,1035.4,1.60235,2.2063,1.76589,0.38045,0.44154,0.37439,0.19329,1.68829,1.90997,1.69063,0.006502,0.006502,0.006502
108,1045.03,1.58072,2.14676,1.72434,0.43217,0.45367,0.40185,0.19751,1.7205,1.8301,1.69042,0.006469,0.006469,0.006469
109,1054.67,1.58321,2.21452,1.75718,0.39345,0.45085,0.37868,0.19062,1.69476,1.84556,1.67591,0.006436,0.006436,0.006436
110,1064.41,1.59805,2.20586,1.76427,0.48207,0.44696,0.41785,0.20954,1.72171,1.798,1.69154,0.006403,0.006403,0.006403
111,1074.16,1.57951,2.16546,1.74623,0.3987,0.45592,0.39982,0.20678,1.62149,1.81343,1.62129,0.00637,0.00637,0.00637
112,1083.84,1.5703,2.20244,1.73014,0.44294,0.4506,0.40818,0.19978,1.66344,1.8069,1.63737,0.006337,0.006337,0.006337
113,1093.51,1.55704,2.14658,1.72611,0.46479,0.40396,0.40232,0.19324,1.68355,1.82986,1.62892,0.006304,0.006304,0.006304
114,1103.25,1.54968,2.10897,1.71838,0.43576,0.46354,0.41687,0.20097,1.75975,1.80724,1.67938,0.006271,0.006271,0.006271
115,1113.13,1.57197,2.12082,1.7304,0.39769,0.49462,0.39851,0.20566,1.67444,1.8893,1.65283,0.006238,0.006238,0.006238
116,1122.9,1.58569,2.12767,1.73449,0.468,0.43747,0.42367,0.21341,1.68589,1.76459,1.65699,0.006205,0.006205,0.006205
117,1132.44,1.5744,2.13098,1.72864,0.44283,0.4731,0.44354,0.22862,1.68763,1.7392,1.63532,0.006172,0.006172,0.006172
